Moreno Cedroni at the Baglioni,5077ad1fe4b0eb8b82a0dcd6,Open,12-Oct,"60 Hyde Park Gate, Kensington, SW7",Michelin starred Italian chef comes to Kensington,Moreno Cedroni runs three restaurants in Ancona - one of them the two Michelin-starred fish restaurant La Madonnina del Pescatore. He's come to London to open up a diffusion restaurant at the Baglioni Hotel in Kensington - along the lines of what Daniel Boulud did when he opened Bar Boulud.,/Gastroblog/Latest-news/moreno-cedroni-to-open-restaurant-at-kensingtons-baglioni-hotel,51.50162361,-0.184600353
Edwin's Wine Bar,,Open,12-Oct,"18 Phipp Street, Shoreditch, EC2A",Lyon wine bar comes to the UK,Edwin Chan has previously opened an Edwin's in Lyon and this new outing  specialises in well priced French wines alongside classic Lyonnais and regional French dishes.&nbsp;,/Gastroblog/Latest-news/french-restaurant-and-wine-bar-edwins-set-to-open-in-shoreditch,,
Bounce,5057807b7ab4a2c8e935af22,Open,12-Oct,"121 Holborn , W1",More ping ponging,"Hot on the heels of Ping is another Ping Pong venue, this time from the person behind All Star Lanes. It has been designed by Russell Sage (who did Bread Street Kitchen and the Zetter Townhouse) and has a raised restaurant serving serve wood-fired pizzas and British-inspired cocktails that overlook the 17 tables.",/Gastroblog/Latest-news/alvin-leung-to-open-bo-london-in-mayfair,51.51805005,-0.10840416
Green Man &amp; French Horn,508047f1e4b0ee1f0d9505a3,Open,12-Sep,"54 Saint Martin's Lane,&nbsp;WC2",Terroirs does Loire,This is the latest opening from the people behind Terroirs and Brawn. It'll be focusing mainly on wines from the Loire valley and differs from their other restaurants due to a new seafood menu.,/Gastroblog/Latest-news/terroirs-and-brawn-team-to-take-over-the-green-man-and-french-horn-on-st-martins-lane,51.51177959,-0.12710166
Honky Tonk,,Open,12-Sep,"Hollywood Road, Chelsea",Supperclub owner goes American.,"The founder of Supperclub, Mark Cutler, is opening this American/Italian deli/restaurant with small and large plates and a wood burning oven. Expect a cocktail menu with beer and tobacco infused cocktails and live music.",,,
Il Tempo,5059d7e7e4b027b66aa03eb7,Open,12-Sep,"48 Chandos Place, WC2N",Aperitivo in Covent Garden,"This ground-floor and basement bar/restaurant includes an open-table Italian delicatessen, covering various Italian regions as well as niche Italian wines. You'll be able to eat as much as you like in the evening, as long as you're willing to pay slightly more for your drinks - roughly a £2 surcharge.",,51.5096851,-0.1258591
Jam Tree Clapham,,Open,12-Sep,"13-19 Old Town, Clapham, SW4",West London pub goes south,"They already have two popular gastropubs in Chelsea and Kensington and now the Jam Tree is going south. Expect a menu that features British dishes with ""colonial favourites from countries as diverse as Malaysia, South Africa, Canada and India"".",/Gastroblog/Latest-news/wishbone-brings-fried-chicken-to-brixton-market,,
Aveqia,5069f523e4b0759e8c3dcbec,Open,12-Sep,"2 St. Bride Street, EC4A",Cook and eat in the City,"This new concept from Sweden lets you cook your dinner, under the guise of chefs from Michelin starred restaurants, and then sit down and eat it in their restaurant - kind of a laid back cooking class.",/Gastroblog/Latest-news/old-bengal-warehouse-opening-on-new-street-bishopsgate,51.513328,-0.107591
The Factory House,50585872e4b05809b0e75881,Open,12-Sep,Leadenhall Market,Victorian industry themed underground restaurant,"The subterranean restaurant is an all-day affair and will ""celebrate the age of modern industrialists"".The food is overseen by Sean Davies, formerly Executive Chef at the Tate restaurants, and features seasonal British food, while wines and cocktails will be run by Fluid Movement, best known for Purl.",/Gastroblog/Latest-news/victorian-style-underground-restaurant-the-factory-house-to-open-leadenhall-market,51.51303588,-0.08248164
Death by Burrito,504f624e582f21bdcbd83a9d,Open,12-Sep,"Catch Bar, 22 Kinglsand Road, E2",Rebel burrito society,The Rebel Dining Society are joining up with Catch Bar in Shoreditch to create a contemporary Mexican grill and cocktail bar. Expect mixologist Ryan Chetiyawardana (from Worship Street) to create plenty of tequila based cocktails.,/Gastroblog/Latest-news/death-by-burrito-mexican-food-and-tequila-bar-to-open-in-shoreditch,51.52875743,-0.077869892
Chrysan,503a8672011cb7f7de557778,Open,12-Sep,"Snowden Street, London EC2A 2DQ.",Japanese Three Michelin starred restaurant opens in London,Kikunoi restaurant in Japan is a three Michelin starred restaurant from Yoshihiro Murata serving Kaiseki cuisine since 1912 (Japanese style cuisine with western haute cuisine influences). Murata's Chrysan will be less formal than his Kyoto restaurant but has extensive à la carte and tasting menus as well as a set lunch menu plus a bento box option for time-pressed City workers.,/Gastroblog/Latest-news/chrysan-japanese-restaurant-to-open-in-broadgate-west,51.52127455,-0.082290173
"Old Bengal Warehouse - Fish Market, New Street Grill, Old Bengal Bar",5024cfc78055b1005d12d0cb,Open,12-Sep,"New Street, EC2",Tea warehouse turns to stiffer drinks,"This old warehouse dating from 1771 has undergone a complete revamp, with two new restaurants and a wine shop. The New Street Grill will focus on steaks and showcase the British produce, Fish Market will be a more laid-back all-day dining spot and Old Bengal Bar will be a cocktail bar.",/Gastroblog/Latest-news/old-bengal-warehouse-opening-on-new-street-bishopsgate,51.5072717,-0.074996689
The Perkin Reveller,50409ea5e4b08d95c108b87d,Open,12-Sep,Tower Bridge Wharf,Banqueting in the City,"This ""dining hall"" is right next door to the Tower of London and has bespoke furniture, plenty of outside seating and a British seasonal menu.",/Gastroblog/Latest-news/medieval-themed-restaurant-the-perkin-reveller-opens-next-to-the-tower-of-london,,
Restaurant Michael Nadra,,Open,12-Sep,"42 Gloucester Avenue, Primrose Hill, NW1",Nadra comes to Primrose Hill,"Nadra's original Chiswick restaurant is a hit with the locals and this sees him moving north to Primrose Hill. Exepct a menu with British, European and Asian ingredients as well as a martini bar.",/Gastroblog/Latest-news/michael-nadra-opening-second-restaurant-in-primrose-hill,51.51505901,-0.137361288
B-Soho,503a856c011cb7f7de556034,Open,12-Sep,"21 - 22 Poland St. Soho, London W1",Soho pizerria,"Taking the place of 52 North, this is a pizzeria and cocktail bar from the people behind Project London, 5 Pollen Street and others offering pizzas cooked in just 90 seconds.",/Gastroblog/Latest-news/b-soho-pizzeria-to-open-on-poland-street,51.52678502,-0.080416084
Tramontana Brindisa,5045e765e4b0e2ca0b3526f3,Open,12-Sep,"152-154 Curtain Road, Shoreditch",Mediterranean food in Shoreditch,"It's the Brindisa group's fourth restaurant after taking on Soho, Borough and Kensington.This one will be mainly featuring Mediterranean food and will also be blessed with a Cava menu.",/Gastroblog/Latest-news/brindisa-opening-tramontana-brindisa-in-shoreditch,51.51893798,-0.086506605
South Place,4feb4cc38055eff11e08881d,Open,12-Sep,Moorgate,Shoreditch-style glam for the city,"D&amp;D London, former owners of the Great Eastern, are opening another city hotel property, this time in Moorgate. The seven-story property on South Place will have a ground-floor bar and restaurant and Angler, a rooftop restaurant and bar with terrace. As there isn't much in the way of glamorous dining in Moorgate, this should be an eagerly-awaited opening for those with a decent expenses tab.",/Gastroblog/Latest-news/angler-and-3-south-place-restaurant-opening-up-in-moorgate,51.54797925,-0.109733853
Assiette Anglaise,504656f5e4b0497c33935af3,Open,12-Aug,"489 Liverpool Road, Islington, N7",Morgan M's replacement,"This restaurant has taken over the space left by Morgan M in Islington. It is an all-day dining restaurant from Head Chef Elton Inglis, formerly of Petrus and Racine. He'll be cooking seasonal dishes based on French brasserie classics.",/Gastroblog/Latest-news/assiette-anglaise-opens-on-islingtons-liverpool-road,51.5396071,-0.144244869
Simply Fish,50507763e4b0c7d0d940bfb8,Open,12-Aug,"4 Inverness Street, London, NW1 7HJ",Sustainable fish chain launches,"This is the first of a new chain (with more to follow soon at St Paul's and Chiswick). You'll be able to select the fish you want, tell them how you want it cooked, and pair it with one of the sauces on offer. Expect plenty of shellfish too and a deli counter.",,51.49412958,-0.175459385
Apero at the Ampersand Hotel,4f856657e4b0cd08a4893b3b,Open,12-Aug,"10 Harrington Road, SW7",Victorian hotel gets a revamp,"This Victorian hotel in South Kensington (just opposite the underground) has completed a refit and features two new restaurants. First, there's Apero aperitivo bar serving classic cocktails and small plates. Next up are ""The Drawing rooms"" where they'll be serving afternoon tea and artisanal coffee and finally there will be the Wine Room, an exclusive private fine dining room.",,51.52022334,-0.136573012
Bubbledogs,4f861896e4b0820432cec5f8,Open,12-Aug,"70 Charlotte Street, W1",Ledbury chef goes it alone,"Ledbury chef James Knappett and his wife Sandia Chang, (sommelier at Roganic) have opened a restaurant of two halves. Bubbledogs at the front which is open now serves up brilliant hot dogs alongside Grower champagne and other sparkling wines. At the back will be Kitchen Table, where Knappett will ""host intimate lunches and dinners with a maximum of 19 guests seated directly around his kitchen (this opens on September 18).",/Gastroblog/Latest-news/ledbury-chef-goes-it-alone-to-open-bubbledogs-and-kitchen-table,,
Pizza East Kentish Town,,Open,12-Aug,"Prince of Wales Road, Kentish Town",Soho House Pizza goes north,This is the latest pizzerria from the Soho House team - expect a similar offering to its predecessors.,/Gastroblog/Latest-news/soho-house-plan-pizza-east-opening-in-kentish-town,51.55424387,-0.14463765
Chicken Shop,5037cc70e4b0b15ca4efa116,Open,12-Aug,Kentish Town,Soho House does chicken,This new venture from Soho House has opened beneath the Pizza East Kentish Town and will focus solely on selling rotisserie chicken using their bespoke technique.,/Gastroblog/Latest-news/soho-house-does-rotisserie-chicken-with-chicken-shop-in-kentish-town,51.51398405,-0.134625435
Slider Bar,4fa34167e4b0a34ac5f80a84,Open,12-Aug,"Player Bar, 8 Broadwick Street, WC1",Lucky Chip comes to Soho,"Lucky Chip have taken the London burger scene by storm. Following a successful ongoing residency at the Sebright Arms pub in Hackney, Ben Denner and his team have developed a 'miniaturised Lucky Chip' in the form of Sliderbar. The menu will consist mainly of, you guessed it, sliders. The sliders on offer are combination of existing favourites as well as a number of exclusive new burgers. There'll be table service, matching drinks, interesting side dishes and Ben's signature 'Slider dessert bar'.&nbsp;",/Gastroblog/Test-drive/sliders-cocktails-and-more-we-try-out-sliderbar-in-soho,51.53206938,-0.217693738
Sacro Cuore Pizza,500412ffe4b0cad517a3ac39,Open,12-Aug,"45 Chamberlayne Road, Kensal Rise NW10 3NB",Top Ealing pizzeria comes to Kensal Rise,The Ealing original - Santa Maria Pizza - is viewed by many to be one of London's best pizzerias - and now it's opened another branch in Kensal Rise with the same menu intact as well as some outside seating.,/Gastroblog/Latest-news/santa-maria-pizza-to-open-sacro-cuore-pizza-in-kensal-rise,51.535362,-0.125083
Caravan King's Cross,502b84b1e4b0441fa6ad4b2b,Open,12-Aug,"Granary Building, King's Cross",Coffee bar/restaurant comes to King's Cross,"The original opened up in King's Cross to great reviews and now they've opened their second restaurant in the recently renovated Granary Building in King's Cross. As with the original, there is a large coffee roastery on-site which supplies Caravan's coffees and there will be inside and outside seating on the square. It will serve a ""food well-travelled"" menu all-day as well as serving cocktails at the bar.",/Restaurant-Reviews/Shoreditch-Clerkenwell/caravan-exmouth-market-farringdon-roastery,51.55885468,-0.074297089
The Black Pig &amp; White Pearls,500ad499e4b05322f15c83a7,Open,12-Aug,"61 Newington High Street, N16",Spanish Tapas in Stoke Newington,The Black Pig used to run a series of pop-up events and this is their first permanent restaurant. Expect high quality Spanish tapas and look out for their speciality Iberico Jamon.,,51.51626956,-0.149949989
Tommi's Burger Joint,4fdcd005e4b01d233937e003,Open,12-Aug,"58 Marylebone Lane, W1",Icelandic burgers in Marylebone,Hamborgara Tómasar aka Tommi's Hamburger Joint opened in 2003 in Reykjavik by Tommi Tómasson who's apparently credited with bringing modern burgers to Iceland. It's a spot favoured by celebrities and burger junkies alike - and this is his first London outpost.,/Gastroblog/Latest-news/iceland-burger-spot-tommis-burger-joint-to-open-in-marylebone,51.51329041,-0.132975996
Honest Burgers Soho,501d1b63e4b035a2200fd19e,Open,12-Aug,"Meard Street, W1",Brixton's fave burgers come to Soho,"Honest Burgers were one of the first to help kick off the current burger craze with their home in Brixton Market. Now they've opened their second restaurant right in the heart of Soho with a burgers, beer and wine offering.",/Restaurant-Reviews/Soho-Fitzrovia-Covent-Garden/honest-burgers-soho,51.51614763,-0.081022026
Duck &amp; Waffle,5012dbe9e4b07ac9f1400222,Open,12-Jul,"Heron Tower,&nbsp;110 Bishopsgate, EC1",24 hour rooftop party,"From the company behind Sushi Samba, Duck &amp; Waffle is an all-day restaurant in the true sense of the word, open 24 hours, 7 days a week. It'll take over the 40th floor with amazing wraparound views over London - showcased by floor-to-ceiling windows. There'll be an open kitchen and a 24 seat chef bar with artisanal cocktails and a private dining room.",/Gastroblog/Latest-news/duck-a-waffle-announced-as-24-hour-rooftop-restaurant-at-heron-tower,51.52002739,-0.102387209
Polpo Smithfield,50168605e4b07c3cf3d56c5a,Open,12-Jul,Cowcross Street London EC1,Polpo goes east,"It's clearly been far too long since the last Russell Norman opening. This new Polpo sees him taking the Venetian restaurant further east to Smithfield and adding some outside seating as well as a downstairs Negroni bar. Reservations will be accepted up till 5pm, and then it's the usual no-reservations policy.",/Gastroblog/Latest-news/polpo-comes-to-smithfield-russell-norman-to-open-latest-restaurant-in-july,51.51486881,-0.137068822
Bibigo,5011a676e4b0c7c30c08e2b7,Open,12-Jul,"55-58 Great Marlborough Street, W1",Korean chain comes to London,"Bibigo is a popular restaurant chain in South Korea which set out to reinvent the bibimbap (mixed rice with vegetables) as a fast-food meal. They've restaurants in Singapore, Beijing and Los Angeles and also sell sauces across the US. Now they've come to London with a restaurant and bar.",/Gastroblog/Latest-news/bibigo-bar-a-dining-opens-with-soft-launch-throughout-august,,
Ping,,Open,12-Jul,"Earls Court Road, SW5","Drink, food and ping pong.","Ping Pong tables have been popping up around town for a while now they're coming to a restaurant in London. Expect a mix of pizzas, cocktails and three ping pong tables to test your skills on.",/Gastroblog/Latest-news/ping-launches-ping-pong-restaurant-in-earls-court,51.51608613,-0.080929646
Sushisamba London,4fa1bbbee4b058e27d7beab7,Open,12-Jul,"Heron Tower, Bishopsgate EC1",Skyscraper fusion,"Sushisamba is a Japanese/Brazilian/Peruvian fusion restaurant previously seen in various glitzy US destinations. As one of the destination restaurants in the new Heron Tower near Liverpool Street, it has taken over the Sky Bar and restaurant at the top of the new skyscraper with outside terraces on either side of the restaurant - so expect an impressive view.",/Restaurant-Reviews/The-City/sushisamba-bishopsgate-heron-tower-london,,
Bentley's Sea Grill at Harrods,,Open,12-Jul,Harrods,Richard Corrigan comes to the food hall,"Richard Corrigan hs taken over the Sea Grill in Harrod's Meat &amp; Fish Hall and turned it into an outpost of his Piccadilly restaurant Bentley's. There is a crustacean bar, seafood cocktails and pies and the decor of the original Bentley's has been recreated on site at Harrods. This is a soft launch until September - the restaurant will be opening in stages and this is the first part of that (and it won't have any signs up yet, so you'll have search for it).&nbsp;",/Gastroblog/Latest-news/richard-corrigan-to-open-bentleys-sea-grill-in-harrods,51.537371,-0.106945
Pig &amp; Butcher,500db2c5e4b0ddfaa8059f41,Open,12-Jul,"80 Liverpool Road, N1",Princess of Shoreditch comes to Islington,This is the third gastropub from the people behind the Lady Ottoline and the Princess of Shoreditch. It's taken over the place of the former Islington Tap and will be making rustic food with freshly sourced meat and fish while making plenty use of its wood-fired oven. In the kitchen is Swedish chef Robbin Holmgren whose had stints at St John and St John Bread &amp; Wine and has also run supperclubs with the Clove Club (who now co-run the Ten Bells).,,51.52437526,-0.075427955
Flat Iron,5006eea7e4b0aba26da0b448,Open,12-Jul,"Owl &amp; Pussycat pub, 34 Redchurch Street, Shoreditch",Affordable steak in Shoreditch,"Flat Iron is a new residency above the Owl &amp; Pussycat pub in Shoreditch, aimed at serving quality affordable steak for a six week residence. Expect a single cut of steak at a very good price, beef dripping chips, and plenty of cocktails.",/Gastroblog/Latest-news/flat-iron-offers-affordable-steak-in-shoreditch-above-the-owl-a-pussycat-pub,51.513299,-0.132351
Burger &amp; Lobster Soho,500589dfe4b03bef973ee81e,Open,12-Jul,"36 Dean Street, W1",£20 lobster &amp; chips come to Soho,"The original was a massive hit and we loved it too. Now it's expanded to the middle of Soho, and as before is charging only £20 for either a lobster, a lobster roll or a burger - all served with chips and salad.",/Gastroblog/Test-drive/goodman-branches-out-we-check-out-burger-a-lobster,51.51209717,-0.122905806
Union Jacks Covent Garden,500487a2e4b0fbfbe9f57a5c,Open,12-Jul,Covent Garden Market Building,Jamie comes to the piazza for pizza,"Jamie Oliver has been expanding his flatbread/pizza business with US pizza supremo Chris Bianco. This latest project sees him taking over a central space in the Covent Garden Piazza that, until recently, hosted Canteen. As part of this venture, he's also taken over a nearby underground restaurant as a bar/extra seats, unofficially called ""the dungeons"".",/Gastroblog/Interviews/my-hot-dinners-jamie-oliver-picks-his-favourite-restaurants-in-london,51.55179176,-0.075018446
Rita's Dining,501055e4e4b01e6d3e6109bd,Open,12-Jul,"33-35 Stoke Newington Road, N16",Chicken &amp; Waffles in Dalston,"This new restaurant in Dalston is by Jackson Boxer, the man behind the much-lauded Brunswick House Cafe. As the man himself says: ""expect fried chicken &amp; waffles, ox-heart tacos, shrimp rolls, soy &amp; ginger hot wings, patty melts and pulled pork with duck heart baked beans.""",/Restaurant-Reviews/East-London/ritas-bar-dining-stoke-newington-road-dalston,51.53542317,-0.104233015
"Heliot Lounge, Bar &amp; Restaurant",4ff73bb4e4b01992aaa169f1,Open,12-Jul,"Hippodrome Casino, Leicester Square",Hippodrome starts gambling,"Changing the Hippodrome Theatre into a huge casino on Leicester Square means there will be a new dining opportunity added too. The Heliot Lounge Bar and Restaurant is on a balcony overlooking the main casino floor and is going for a West End brasserie vibe. It's run by the One Group, who up until now have mainly been based in America with their STK brand and more recently the Gansevoort Hotel on Park Avenue in New York.",/Restaurant-Reviews/Soho-Fitzrovia-Covent-Garden/heliot-restaurant-bar-and-lounge-at-the-hippodrome,51.51281592,-0.153275154
Rattlesnake,4fed2c0621c67a36e347bf29,Open,12-Jul,"56 Upper Street, Islington N1",Walkabout revived,"Irish designer Paul Daly, who once worked across the road at the Dome (now Byron), has come back to Islington to revive the closed Walkabout pub. Expect Tex-Mex food, live music and a rooftop terrace.",,51.54337888,-0.057170022
Banca,500eee96e4b0d914ef21f387,Open,12-Jul,"30 North Audley Street, Mayfair",Glamorous new Italian.,"Arjun Waney (co -owner of Zuma), together with his brother Peter and London restaurateur Giuliano Lotto (Il Baretto, The Arts Club, La Petite Maison and Aurelia) are behind this classic new Italian which promises great tasting food and more than a fair dollop of glamour.",/Gastroblog/Latest-news/banca-to-open-on-mayfairs-north-audley-street,51.51726225,-0.133810043
Lardo,4fede844e4b078413a369e71,Open,12-Jul,"Richmond Road, London Fields E8.",London Fields charcuterie,This new opening in London Fields is a charcuterie bar and restaurant with chefs from Zucca and L'Anima. Expect freshly-baked pizza and more from an amazing disco-ball woodfired oven.,/Restaurant-Reviews/East-London/lardo,51.5189743,-0.149846002
Lima,4fa1bacae4b022b26383b030,Open,12-Jul,"31 Rathbone Place,&nbsp; London W1T",Peruvian in Soho,"This Peruvian restaurant is from Virgilio Martinez, former Executive Chef at Astrid y Gaston, listed on the San Pellegrino World’s Best Restaurants list. It will be ""integrating Peruvian traditional cuisine with a modern and contemporary twist.""",/Restaurant-Reviews/Soho-Fitzrovia-Covent-Garden/lima-london-rathbone-place-fitzrovia-peruvian,51.51935857,-0.074350834
"Dach &amp; Sons, Purl NW",4fd7bf16e4b091f80b65cee3,Open,12-Jul,"68 Heath Street, Hampstead NW3",People behind Purl open a slider bar,"This Slider bar in Hampstead is from Fluid Movement, who also own trendy bars Purl and the Worship Street Whistling Shop. Hot dogs and sliders feature on the menu while the bar is heavily focused around whiskey based drinks. In addition to the main bar, Purl has opened their second location on the first floor.",/Restaurant-Reviews/North-London/dach-and-sons-purl-hampstead-heath-street,51.51049863,-0.135537386
The Fat of the Land,4fb7f4bde4b08d8adeabf940,Open,12-Jun,"35 New Cavendish Street, London W1",Marylebone gastropub,"This new gastropub has taken over over the space of the Duke of York pub. It's from the people behind the Peasant (in Clerkenwell) and the Norfolk Arms (in Bloomsbury) and promises seasonal pan-Mediterranean food, local beers and more.",,51.51302926,-0.132200718
Upstairs at the Ten Bells,505ef477e4b062a5a05b6077,Open,12-Jun,"Ten Bells, Commercial Street London E1",Young Turk goes it alone,"As Young Turks at the Ten Bells comes to an end, James Lowe may be looking elsewhere but Isaac McHale and the Clove Club are continuing with the restaurant above the Ten Bells pub. This time there is an a la carte menu instead of the tasting, and they're joined by ex-Ledbury chef Giorgio Ravelli in the kitchen.",/Gastroblog/Latest-news/ten-bells-to-open-with-ex-ledbury-chef-heading-up-kitchen,51.41375244,-0.222341797
Brasserie Zedel,4ff5e7d9e4b07a70b860711a,Open,12-Jun,"2 Sherwood Street, Quadrant 3, W1",Corbin &amp; King go Parisian,"Set in the newly revamped development just off Piccadilly (where the old Regent Palace Hotel used to be), this is a Parisian café/brasserie with an Art Deco interior as well as cocktail and jazz bars. It's an all-day restaurant with a focus on value for money, so expect something a bit more mid-range than the Delaunay.",/Gastroblog/Latest-news/chris-corbin-and-jeremy-king-opening-restaurant-on-oriels-sloane-square-site,51.5333682,-0.111244616
Tonkotsu,4fdcb2cae4b09473e18a319c,Open,12-Jun,"63 Dean Street, W1",Soho ramen,"The owners of Tsuru sushi have opened the doors on their new ramen bar in Soho. There will be three ramen dishes on offer: London Ramen, Tonkotsu Ramen and Tokyo Spicy which has shredded pork and their home-made chilli oil. In addition to the ramen, there'll also be fresh, hand-made gyoza (dumplings) and a crab cream korokke (Japanese croquettes).",/Gastroblog/Latest-news/soho-gets-a-new-ramen-bar-tonkotsu-on-dean-street,51.48513111,-0.174536705
The Potting Shed,4ac518c0f964a5206ea320e3,Open,12-Jun,"The Dorset Square Hotel, 39-40 Dorset Square, NW1",English cuisine in revamped hotel,"The new Dorset Square Hotel, a boutique hotel in Marylebone from Firmdale (who are also behind the Charlotte Street Hotel), has a restaurant and bar called The Potting Shed (as it was originally named back in the 80s). It's an English brasserie style cuisine using locally sourced and seasonal produce, and will have a cricketing theme (as the original Lord's was at this location).",/Gastroblog/Latest-news/firmdale-hotels-opens-english-brasserie-the-potting-shed-at-the-dorset-square-hotel,51.48997975,-0.190830844
Hundred Crows Rising,4fca394fe4b08f041c47978c,Open,12-Jun,"58 Penton Street,N1",Islingon gastropub,"This gastropub used to be the site of the Compass and has now been taken over by the people behind another popular Islington gastropub, the Elk in the Woods. Expect an all-day British themed menu and plenty of craft beers.",,51.513356,-0.130902
Brooklyn Bite,4fde429e121d912a8e77e365,Open,12-Jun,"342 King's Road, Chelsea, SW3",NYC style pizza,"This is planned to be the first of many Brooklyn Bite pizzerias and is serving huge 18 inch New York style pizzas, offering both eat-in and take-out. The basement bar is modelled over a New York speakeasy lounge.",,51.51472517,-0.16112566
